path,subject,camera,bin
0001_c3s3_026053_04.jpg,0001,3,gallery
0001_c1s1_002301_02.jpg,0001,1,gallery
0001_c5s2_002483_03.jpg,0001,5,gallery
0001_c2s1_082596_03.jpg,0001,2,poor
0001_c3s1_082942_04.jpg,0001,3,poor
0001_c3s2_118119_03.jpg,0001,3,poor
0001_c1s1_002401_02.jpg,0001,1,poor
0001_c6s2_112243_04.jpg,0001,6,poor
0001_c1s6_011741_02.jpg,0001,1,poor
0001_c3s1_083067_05.jpg,0001,3,poor
0001_c1s2_037091_02.jpg,0001,1,poor
0003_c4s6_015716_03.jpg,0003,4,gallery
0003_c4s6_015641_01.jpg,0003,4,gallery
0003_c4s6_015666_02.jpg,0003,4,gallery
0003_c1s6_015971_02.jpg,0003,1,none
0003_c1s6_015996_02.jpg,0003,1,none
0003_c3s3_064744_03.jpg,0003,3,none
0003_c3s3_064794_04.jpg,0003,3,none
0003_c5s3_065187_01.jpg,0003,5,none
0003_c6s3_088392_04.jpg,0003,6,none
0003_c6s3_088442_04.jpg,0003,6,none
0004_c6s4_001977_04.jpg,0004,6,gallery
0004_c1s6_017046_01.jpg,0004,1,gallery
0004_c1s6_027096_02.jpg,0004,1,gallery
0004_c3s3_075569_03.jpg,0004,3,poor
0004_c1s6_016996_02.jpg,0004,1,poor
0004_c3s3_065619_02.jpg,0004,3,poor
0004_c6s4_002152_01.jpg,0004,6,poor
0004_c3s3_065819_03.jpg,0004,3,poor
0004_c6s4_001952_02.jpg,0004,6,poor
0004_c6s4_002152_05.jpg,0004,6,poor
0004_c5s3_066212_01.jpg,0004,5,poor
0005_c1s1_001351_02.jpg,0005,1,gallery
0005_c3s2_088578_02.jpg,0005,3,gallery
0005_c4s1_006951_03.jpg,0005,4,gallery
0005_c3s3_060878_05.jpg,0005,3,poor
0005_c1s1_001376_03.jpg,0005,1,poor
0005_c1s6_023071_01.jpg,0005,1,poor
0005_c2s2_048412_01.jpg,0005,2,poor
0005_c2s2_048412_03.jpg,0005,2,poor
0005_c3s3_060878_01.jpg,0005,3,poor
0005_c5s1_000626_02.jpg,0005,5,poor
0005_c1s1_001526_02.jpg,0005,1,poor
0006_c3s3_075694_02.jpg,0006,3,gallery
0006_c2s3_069402_01.jpg,0006,2,gallery
0006_c2s3_069327_01.jpg,0006,2,gallery
0006_c2s3_069427_01.jpg,0006,2,poor
0006_c3s3_075719_01.jpg,0006,3,poor
0006_c5s3_076037_03.jpg,0006,5,poor
0006_c1s6_026921_01.jpg,0006,1,none
0006_c5s3_076087_03.jpg,0006,5,none
0006_c6s4_002202_04.jpg,0006,6,none
0008_c1s1_000376_02.jpg,0008,1,gallery
0008_c1s1_000401_01.jpg,0008,1,gallery
0008_c1s1_000426_02.jpg,0008,1,gallery
0008_c1s1_000451_02.jpg,0008,1,none
0008_c5s1_000401_01.jpg,0008,5,none
0008_c6s1_000476_01.jpg,0008,6,none
0009_c5s1_000551_02.jpg,0009,5,gallery
0009_c5s1_000476_01.jpg,0009,5,gallery
0009_c1s1_000376_01.jpg,0009,1,gallery
0009_c1s1_000401_02.jpg,0009,1,none
0009_c1s1_000426_01.jpg,0009,1,none
0009_c1s1_000451_01.jpg,0009,1,none
0009_c6s1_000476_03.jpg,0009,6,none
0009_c6s1_000501_01.jpg,0009,6,none
0013_c5s1_000551_04.jpg,0013,5,gallery
0013_c5s1_000476_03.jpg,0013,5,gallery
0013_c5s1_000426_01.jpg,0013,5,gallery
0013_c6s1_000451_03.jpg,0013,6,poor
0013_c6s1_000476_06.jpg,0013,6,none
0014_c1s1_001051_01.jpg,0014,1,gallery
0014_c4s1_000376_01.jpg,0014,4,gallery
0014_c4s1_000451_01.jpg,0014,4,gallery
0014_c4s1_000351_01.jpg,0014,4,none
0014_c5s1_001026_02.jpg,0014,5,none
0015_c6s1_001476_01.jpg,0015,6,gallery
0015_c3s1_000926_02.jpg,0015,3,gallery
0015_c6s1_056026_03.jpg,0015,6,gallery
0015_c1s1_056206_01.jpg,0015,1,poor
0015_c3s1_000901_02.jpg,0015,3,poor
0015_c5s1_001526_01.jpg,0015,5,poor
0015_c5s1_001576_02.jpg,0015,5,poor
0015_c5s1_001451_01.jpg,0015,5,poor
0015_c6s1_055951_02.jpg,0015,6,poor
0015_c4s1_001426_03.jpg,0015,4,poor
0015_c4s1_001451_02.jpg,0015,4,poor
0016_c6s1_011551_01.jpg,0016,6,gallery
0016_c6s1_036626_02.jpg,0016,6,gallery
0016_c6s1_011526_01.jpg,0016,6,gallery
0016_c1s5_055716_02.jpg,0016,1,poor
0016_c1s2_005966_01.jpg,0016,1,poor
0016_c1s1_001376_02.jpg,0016,1,poor
0016_c2s1_078346_01.jpg,0016,2,poor
0016_c3s2_088553_03.jpg,0016,3,poor
0016_c1s5_055741_01.jpg,0016,1,poor
0016_c1s1_001351_03.jpg,0016,1,none
0016_c1s2_006041_07.jpg,0016,1,none
0017_c4s1_002051_01.jpg,0017,4,gallery
0017_c4s1_002151_01.jpg,0017,4,gallery
0017_c1s1_001726_01.jpg,0017,1,gallery
0017_c1s1_001751_01.jpg,0017,1,none
0017_c2s1_000976_04.jpg,0017,2,none
0017_c4s1_002201_01.jpg,0017,4,none
0018_c2s1_001226_01.jpg,0018,2,gallery
0018_c2s1_001226_02.jpg,0018,2,gallery
0018_c5s1_002226_02.jpg,0018,5,gallery
0018_c2s1_001251_01.jpg,0018,2,poor
0018_c3s1_001526_01.jpg,0018,3,poor
0018_c5s1_002076_01.jpg,0018,5,poor
0018_c5s1_002176_01.jpg,0018,5,poor
0018_c1s1_001851_01.jpg,0018,1,none
0018_c1s1_001901_01.jpg,0018,1,none
0018_c1s1_001926_01.jpg,0018,1,none
0018_c1s1_001926_02.jpg,0018,1,none
0019_c3s3_075919_06.jpg,0019,3,gallery
0019_c1s6_027296_02.jpg,0019,1,gallery
0019_c1s6_027321_01.jpg,0019,1,gallery
0019_c1s6_027396_03.jpg,0019,1,none
0019_c3s3_076044_02.jpg,0019,3,none
0019_c3s3_076094_06.jpg,0019,3,none
0019_c5s3_076537_03.jpg,0019,5,none
0019_c6s4_002427_03.jpg,0019,6,none
0019_c6s4_002452_03.jpg,0019,6,none
0019_c6s4_002502_04.jpg,0019,6,none
0019_c6s4_002527_02.jpg,0019,6,none
0021_c3s1_001776_01.jpg,0021,3,gallery
0021_c5s1_002276_02.jpg,0021,5,gallery
0021_c3s1_001626_02.jpg,0021,3,gallery
0021_c1s1_002301_04.jpg,0021,1,none
0021_c1s1_002326_03.jpg,0021,1,none
0021_c3s1_001826_01.jpg,0021,3,none
0021_c5s1_002176_05.jpg,0021,5,none
0021_c5s1_002326_04.jpg,0021,5,none
0021_c6s1_002351_01.jpg,0021,6,none
0021_c6s1_002376_01.jpg,0021,6,none
0021_c6s1_002401_02.jpg,0021,6,none
0024_c2s1_001626_05.jpg,0024,2,gallery
0024_c2s1_001776_05.jpg,0024,2,gallery
0024_c2s1_001801_04.jpg,0024,2,gallery
0024_c2s1_001626_02.jpg,0024,2,poor
0024_c3s1_001951_01.jpg,0024,3,poor
0024_c2s1_001751_05.jpg,0024,2,poor
0024_c1s1_002326_05.jpg,0024,1,none
0024_c6s1_002526_01.jpg,0024,6,none
0024_c6s1_002551_01.jpg,0024,6,none
0024_c6s1_002576_02.jpg,0024,6,none
0025_c2s1_001751_01.jpg,0025,2,gallery
0025_c2s1_001751_07.jpg,0025,2,gallery
0025_c2s1_001801_02.jpg,0025,2,gallery
0025_c2s1_001626_01.jpg,0025,2,poor
0025_c2s1_001776_02.jpg,0025,2,poor
0025_c3s1_002001_03.jpg,0025,3,none
0025_c6s1_002551_04.jpg,0025,6,none
0025_c6s1_002576_03.jpg,0025,6,none
0025_c6s1_002601_01.jpg,0025,6,none
0026_c2s1_001626_03.jpg,0026,2,gallery
0026_c2s1_001801_07.jpg,0026,2,gallery
0026_c2s1_001801_01.jpg,0026,2,gallery
0026_c3s1_002051_01.jpg,0026,3,poor
0026_c2s1_001776_01.jpg,0026,2,poor
0026_c2s1_001751_03.jpg,0026,2,poor
0026_c3s1_002076_01.jpg,0026,3,poor
0026_c3s1_002026_01.jpg,0026,3,poor
0026_c1s1_002301_01.jpg,0026,1,none
0026_c6s1_002601_03.jpg,0026,6,none
0026_c6s1_002626_03.jpg,0026,6,none
0029_c5s1_002526_03.jpg,0029,5,gallery
0029_c3s1_001901_02.jpg,0029,3,gallery
0029_c1s1_002576_06.jpg,0029,1,gallery
0029_c4s1_002476_04.jpg,0029,4,none
0029_c4s1_002501_04.jpg,0029,4,none
0031_c4s1_002501_02.jpg,0031,4,gallery
0031_c1s1_002576_04.jpg,0031,1,gallery
0031_c1s1_002601_04.jpg,0031,1,gallery
0031_c2s1_001876_04.jpg,0031,2,none
0031_c4s1_002476_02.jpg,0031,4,none
0031_c4s1_002501_05.jpg,0031,4,none
0033_c3s3_063244_05.jpg,0033,3,gallery
0033_c6s3_086942_02.jpg,0033,6,gallery
0033_c1s6_014296_04.jpg,0033,1,gallery
0033_c1s6_014396_04.jpg,0033,1,none
0033_c1s6_014471_01.jpg,0033,1,none
0033_c3s3_062903_02.jpg,0033,3,none
0033_c3s3_062953_04.jpg,0033,3,none
0033_c5s3_063462_03.jpg,0033,5,none
0033_c5s3_063587_03.jpg,0033,5,none
0033_c5s3_063662_04.jpg,0033,5,none
0033_c6s3_086942_06.jpg,0033,6,none
0034_c5s1_005401_02.jpg,0034,5,gallery
0034_c3s1_002826_01.jpg,0034,3,gallery
0034_c2s1_002551_01.jpg,0034,2,gallery
0034_c3s1_002751_01.jpg,0034,3,poor
0034_c3s1_004651_02.jpg,0034,3,poor
0034_c6s1_005201_01.jpg,0034,6,poor
0034_c5s1_005301_01.jpg,0034,5,poor
0034_c6s1_005151_01.jpg,0034,6,poor
0034_c6s1_005226_01.jpg,0034,6,poor
0034_c4s1_005226_03.jpg,0034,4,poor
0034_c2s1_002651_01.jpg,0034,2,poor
0036_c6s1_003751_01.jpg,0036,6,gallery
0036_c6s1_003826_02.jpg,0036,6,gallery
0036_c6s1_003876_04.jpg,0036,6,gallery
0036_c6s1_004051_02.jpg,0036,6,poor
0036_c6s1_004076_02.jpg,0036,6,poor
0036_c6s1_003926_02.jpg,0036,6,poor
0036_c1s1_003226_01.jpg,0036,1,none
0036_c1s1_004376_02.jpg,0036,1,none
0036_c1s1_004401_02.jpg,0036,1,none
0036_c2s1_002551_02.jpg,0036,2,none
0036_c2s1_002651_02.jpg,0036,2,none
0038_c4s1_004226_04.jpg,0038,4,gallery
0038_c5s1_003951_01.jpg,0038,5,gallery
0038_c2s1_002976_02.jpg,0038,2,gallery
0038_c2s1_003126_02.jpg,0038,2,none
0038_c3s1_003451_03.jpg,0038,3,none
0038_c4s1_004226_02.jpg,0038,4,none
0038_c4s1_004376_04.jpg,0038,4,none
0038_c5s1_003976_01.jpg,0038,5,none
0038_c5s1_004026_03.jpg,0038,5,none
0039_c2s1_003101_01.jpg,0039,2,gallery
0039_c4s1_003826_03.jpg,0039,4,gallery
0039_c4s1_003851_06.jpg,0039,4,gallery